x1,x2,T,ln_gamma1,ln_gamma2,gamma1,gamma2
0.37704931647041523,0.6229506835295848,365.32863827419266,0.39554726852763183,0.281817401463028,1.4851967700007167,1.3255366568330353
0.9417000202817178,0.05829997971828216,354.6383654001167,-0.0069328083385298105,0.8155559596470601,0.9930911681370999,2.26043203206944
0.727354062975177,0.272645937024823,358.3532083747735,0.043159496785284794,0.6522563096817177,1.0441044128680694,1.9198677619467828
0.5966853145130959,0.4033146854869041,359.654859285129,0.12519973433424703,0.4988194453986986,1.133374804323009,1.6467760136847267
0.1628982676335878,0.8371017323664122,368.72483783438446,0.9526708042139512,0.0661481486394812,2.5926248139715034,1.0683849852241083
0.1628746299294786,0.8371253700705215,370.11568343353326,0.9464863523883985,0.04337888809986212,2.576640329292599,1.0443335054373057
0.06692193992483547,0.9330780600751645,370.38090679360664,1.319960371161062,0.05057550587229129,3.7432730327574055,1.0518762831929385
0.8588526228594364,0.14114737714056358,356.38729948094755,0.027542932900455203,0.754121748359824,1.0279257459936404,2.125743765346076
0.5990927115083446,0.40090728849165536,361.35908291656557,0.12881575572961138,0.5093366672855577,1.1374805305876772,1.6641869191088412
0.7039111262401245,0.29608887375987547,357.4411484647966,0.05327230468203131,0.6328005185684604,1.0547168103450377,1.8828762323940924
0.0301728044098864,0.9698271955901137,370.78362425543503,1.4555865478590089,-0.02479296651567214,4.286997257363342,0.9755118547414499
0.9605116551187545,0.03948834488124553,353.7087950408444,0.003002839186002919,0.7684266480854249,1.0030073522237697,2.156370853194922
0.8257937879844133,0.17420621201558673,355.1570246448848,0.0320878004141821,0.7551889832628155,1.0326081647496446,2.1280136443188544
0.21809232846471063,0.7819076715352894,369.66611740071244,0.7458623901903899,0.08468708035417488,2.1082587929340875,1.0883764390368067
0.18818846786295862,0.8118115321370414,367.4812920119726,0.8609163897746959,0.05361491341210256,2.365327262560624,1.0550782274408057
0.18973641965636515,0.8102635803436349,368.4428314914859,0.8407778402926034,0.0864274355994167,2.318169441271962,1.090272249894959
0.308157398100347,0.6918426018996531,366.4836360308456,0.5274614453149201,0.20516410452349504,1.6946249455983082,1.2277265239087516
0.5242613029995931,0.47573869700040694,361.84672338382353,0.1954721978974751,0.4433364167271894,1.2158849892931225,1.55789634858415
0.43330611826927345,0.5666938817307265,363.31885706799096,0.29222161611735864,0.340613391656082,1.3393998173373898,1.4058096380522176
0.29540455739408106,0.7045954426059189,367.3773412647656,0.5576752241976665,0.15340939645668622,1.7466073063927006,1.165802156530747
0.6096158368279319,0.39038416317206814,358.8841967032927,0.06613591682258582,0.5001806913352291,1.0683719170145194,1.6490192072644188
0.146703983439001,0.853296016560999,369.8314792735243,1.0068636932904789,0.07677989240583341,2.737003457467995,1.0798043770902372
